word,category
केंद्रों,neither
पॉवर,neither
तरक्की,nepali-only
मजा,nepali-only
मांजने,neither
संबन्धित,neither
संभावनाएं,neither
आगे,nepali-only
ज़ाद,neither
फ़त्तू,neither
रचते,neither
युग्म,nepali-only
महकमा,neither
ख़रीद-फ़रोख़्त,neither
स्वामी,nepali-only
पालिसी,neither
विनिवेश,neither
आकाशवाणी,nepali-only
सरपरस्तों,neither
निर्गुण,nepali-only
मल्टीनेशनल,neither
दोहरी,nepali-only
कार्यक्त्रम,neither
र्दज,neither
परिपेक्ष,neither
न्यूट्रालिटी,neither
एडस,neither
प्रदर्शनकारियों,neither
मंदी,neither
गुर्राती,neither
उठे,neither
अवज्ञा,nepali-only
एमबीपीएस,neither
सम्मलित,neither
सीओपीयू,neither
हिन्ट,neither
आईबी,neither
मारना,neither
पतंजलि,neither
अण्डमान-निकोबार,neither
हर्ष-उल्लास,neither
भाइयो,neither
बारां,neither
बनवायेंगे,neither
कहतें,neither
महाकुंभ,neither
संपूर्ण,neither
साहित्यिक,neither
असमय,nepali-only
सम्मेलनों,neither
तैनात,neither
मो,neither
स्थापित,nepali-only
पहुंचेगी,neither
निकलती,neither
देख्या,neither
फ़ायदा,neither
पांचांग,neither
वाली,nepali-only
निष्पादित,nepali-only
मधुर,nepali-only
खुर्द,neither
सामुदायिक,nepali-only
राई,nepali-only
समाचारपत्रों,neither
बीच,nepali-only
पहुंची,neither
जनसेवा,nepali-only
ओझा,nepali-only
छली,nepali-only
सवेरा,neither
रोका,neither
तासीर,neither
आओं,neither
उबल,neither
लतीफों,neither
मेघा,neither
स्ट्रेन,neither
उदासीन,nepali-only
रामकुमार,nepali-only
सुखाय,neither
निर्वाचित,nepali-only
पड़ेगी,neither
केंट,neither
गुणवत्ता,neither
बता,neither
बुलेटप्रूफ,neither
फाईलें,neither
नग्मों,neither
किशन,neither
चर्चित,nepali-only
कूटनीतिक,nepali-only
गला,nepali-only
घेराव,neither
अमीरी,nepali-only
जान-पहचान,neither
रोय,neither
टालने,neither
सैटल,neither
परंपराओं,neither
किलो,nepali-only
लगान,nepali-only
कोसों,neither
गिने-चुने,neither
सच-फ़रेब,neither
प्रयोगो,neither
सरिया,neither
थिंक,neither
सगुणवाद,neither
सौजन्य,neither
बापू,neither
ब्रह्मा,nepali-only
विशालता,neither
आबा,nepali-only
बेश,neither
नैदानिक,nepali-only
घुसता,neither
जोड़,neither
हट,neither
एसे,neither
बैठते,neither
रणनीतिक,neither
मुखिया,nepali-only
मुख्यतः,neither
ट्विट,neither
श्रद्धासुमन,neither
कन्धों,neither
एमिरिट्स,neither
लेट,nepali-only
शोर-शराबा,neither
रसुलपुर,neither
भाव-शिखर,neither
आऴधिक,neither
संपृक्त,neither
छत्तीसग़ढ,neither
नवयुवक,nepali-only
गुफाओं,neither
स्ट्रोक्स,neither
ख़त-कोरियर,neither
मुकाबले,neither
पीएसी,neither
आदरणीय,neither
घाटी।,nepali-only
ज़्यादा,neither
कर्नाटक,neither
बहराम,neither
तीन-चौथाई,neither
उनींदेपन,neither
गद्द्य,neither
पाउंड,neither
अरुंधती,neither
मुलायमसिंह,neither
कोसी,nepali-only
सूरमा,neither
दफा,nepali-only
बॉयोग्राफी,neither
खासकर,neither
लोकतंत्र,neither
सूरज,neither
सहायिका,neither
डिफरेंस,neither
सुराखों,neither
सावधानियां,neither
